country,listed_in
"United Kingdom, Spain, United States","Dramas, Sci-Fi & Fantasy"
Brazil,"Comedies, International Movies, LGBTQ Movies"
"Ireland, United Kingdom, United States",Children & Family Movies
United States,"Children & Family Movies, Comedies, Dramas"
United States,"Action & Adventure, Classic Movies, Sci-Fi & Fantasy"
Taiwan,"Dramas, International Movies"
"Germany, United States",Dramas
France,"Dramas, International Movies, Romantic Movies"
"Netherlands, Belgium, United Kingdom, United States","Action & Adventure, Dramas, International Movies"
Japan,"Action & Adventure, Anime Features, Classic Movies"
"United States, Greece","Action & Adventure, Sci-Fi & Fantasy"
"Pakistan, United States","Children & Family Movies, Dramas"
Spain,"International TV Shows, TV Comedies, TV Dramas"
Pakistan,"Action & Adventure, International Movies"
Malaysia,Kids' TV
"Canada, United States",Documentaries
Lebanon,"Dramas, International Movies"
United Kingdom,Children & Family Movies
"","Docuseries, TV Sci-Fi & Fantasy"
France,"Dramas, Independent Movies, International Movies"
"United States, Germany","Action & Adventure, Comedies"
"Italy, United States, Argentina","Documentaries, International Movies"
"Argentina, Italy","Documentaries, International Movies"
"United States, United Kingdom, Germany",Documentaries
United States,"TV Dramas, TV Sci-Fi & Fantasy, Teen TV Shows"
Hong Kong,"Action & Adventure, International Movies, Romantic Movies"
Pakistan,"Horror Movies, International Movies"
"Canada, United States","Dramas, Thrillers"
Germany,"International Movies, Thrillers"
"New Zealand, United States","Action & Adventure, Sci-Fi & Fantasy"
South Korea,"International TV Shows, TV Dramas, TV Mysteries"
United States,Action & Adventure
United Kingdom,"British TV Shows, Crime TV Shows, International TV Shows"
United States,"Documentaries, Faith & Spirituality, Music & Musicals"
"Netherlands, Belgium, Germany, Jordan","Dramas, International Movies"
"Denmark, Singapore, Canada, United States",Kids' TV
"United States, United Kingdom","British TV Shows, Docuseries, Science & Nature TV"
"United States, France",Kids' TV
"Indonesia, South Korea, Singapore","Dramas, International Movies"
India,"Dramas, International Movies, Sports Movies"
